GCM,run,scenario,0.8,1.0,1.2,1.5,2.0,2.5,3.0,4.0
CMCC-ESM2,r1i1p1f1,ssp585,1992-03-16 12:00:00,2001-01-16 12:00:00,2006-12-16 12:00:00,2025-11-16 00:00:00,2036-01-16 12:00:00,2044-07-16 12:00:00,2052-01-16 12:00:00,2065-03-16 12:00:00
CMCC-ESM2,r1i1p1f1,ssp370,1992-03-16 12:00:00,2001-01-16 12:00:00,2006-10-16 12:00:00,2028-02-15 00:00:00,2038-04-16 00:00:00,2047-11-16 00:00:00,2057-05-16 12:00:00,2081-02-15 00:00:00
CMCC-ESM2,r1i1p1f1,ssp245,1992-03-16 12:00:00,2001-01-16 12:00:00,2006-08-16 12:00:00,2027-02-15 00:00:00,2037-08-16 12:00:00,2046-08-16 12:00:00,2057-06-16 00:00:00,
CNRM-CM6-1,r3i1p1f2,ssp585,2001-04-16 00:00:00,2008-02-15 12:00:00,2013-12-16 12:00:00,2020-12-16 12:00:00,2034-02-15 00:00:00,2045-08-16 12:00:00,2054-07-16 12:00:00,2067-11-16 00:00:00
CNRM-CM6-1,r3i1p1f2,ssp370,2001-04-16 00:00:00,2008-08-16 12:00:00,2015-03-16 12:00:00,2025-12-16 12:00:00,2041-07-16 12:00:00,2052-03-16 12:00:00,2061-05-16 12:00:00,2078-08-16 12:00:00
CNRM-CM6-1,r3i1p1f2,ssp245,2001-04-16 00:00:00,2008-04-16 00:00:00,2013-04-16 00:00:00,2020-12-16 12:00:00,2040-11-16 00:00:00,2056-11-16 00:00:00,2072-04-16 00:00:00,
CNRM-CM6-1,r1i1p1f2,ssp585,1996-12-16 12:00:00,2007-08-16 12:00:00,2015-11-16 00:00:00,2024-06-16 00:00:00,2038-01-16 12:00:00,2047-08-16 12:00:00,2055-03-16 12:00:00,2068-05-16 12:00:00
CNRM-CM6-1,r1i1p1f2,ssp370,1996-12-16 12:00:00,2008-10-16 12:00:00,2017-12-16 12:00:00,2028-11-16 00:00:00,2042-03-16 12:00:00,2052-08-16 12:00:00,2062-09-16 00:00:00,2078-03-16 12:00:00
CNRM-CM6-1,r1i1p1f2,ssp245,1996-12-16 12:00:00,2008-03-16 12:00:00,2015-08-16 12:00:00,2026-03-16 12:00:00,2043-10-16 12:00:00,2058-09-16 00:00:00,2075-12-16 12:00:00,
CNRM-CM6-1,r5i1p1f2,ssp585,1998-09-16 00:00:00,2007-09-16 00:00:00,2015-04-16 00:00:00,2024-01-16 12:00:00,2037-03-16 12:00:00,2047-09-16 00:00:00,2055-08-16 12:00:00,2068-07-16 12:00:00
CNRM-CM6-1,r5i1p1f2,ssp370,1998-09-16 00:00:00,2008-02-15 12:00:00,2015-07-16 12:00:00,2025-02-15 00:00:00,2040-11-16 00:00:00,2054-12-16 12:00:00,2065-05-16 12:00:00,2079-10-16 12:00:00
CNRM-CM6-1,r5i1p1f2,ssp245,1998-09-16 00:00:00,2007-10-16 12:00:00,2016-05-16 12:00:00,2026-03-16 12:00:00,2044-01-16 12:00:00,2059-09-16 00:00:00,2073-05-16 12:00:00,
CNRM-CM6-1,r9i1p1f2,ssp245,2006-05-16 12:00:00,,,,,,,
CNRM-CM6-1,r6i1p1f2,ssp585,1997-07-16 12:00:00,2004-01-16 12:00:00,2010-07-16 12:00:00,2019-10-16 12:00:00,2031-10-16 12:00:00,2043-06-16 00:00:00,2053-07-16 12:00:00,2067-10-16 12:00:00
CNRM-CM6-1,r6i1p1f2,ssp370,1997-07-16 12:00:00,2004-01-16 12:00:00,2010-09-16 00:00:00,2020-10-16 12:00:00,2036-12-16 12:00:00,2049-12-16 12:00:00,2060-10-16 12:00:00,2077-11-16 00:00:00
CNRM-CM6-1,r6i1p1f2,ssp245,1997-07-16 12:00:00,2004-01-16 12:00:00,2011-01-16 12:00:00,2020-05-16 12:00:00,2035-10-16 12:00:00,2053-02-15 00:00:00,2071-01-16 12:00:00,
CNRM-CM6-1,r10i1p1f2,ssp245,2003-11-16 00:00:00,2009-12-16 12:00:00,,,,,,
CNRM-CM6-1,r4i1p1f2,ssp585,2000-10-16 12:00:00,2010-12-16 12:00:00,2018-03-16 12:00:00,2026-06-16 00:00:00,2037-08-16 12:00:00,2047-03-16 12:00:00,2056-01-16 12:00:00,2068-12-16 12:00:00
CNRM-CM6-1,r4i1p1f2,ssp370,2000-10-16 12:00:00,2013-11-16 00:00:00,2022-03-16 12:00:00,2030-06-16 00:00:00,2044-04-16 00:00:00,2055-05-16 12:00:00,2063-12-16 12:00:00,2080-01-16 12:00:00
CNRM-CM6-1,r4i1p1f2,ssp245,2000-10-16 12:00:00,2013-11-16 00:00:00,2020-12-16 12:00:00,2030-07-16 12:00:00,2045-04-16 00:00:00,2060-12-16 12:00:00,2075-10-16 12:00:00,
CNRM-CM6-1,r2i1p1f2,ssp585,2001-04-16 00:00:00,2009-03-16 12:00:00,2015-06-16 00:00:00,2024-02-15 12:00:00,2036-09-16 00:00:00,2046-03-16 12:00:00,2054-03-16 12:00:00,2066-04-16 00:00:00
CNRM-CM6-1,r2i1p1f2,ssp370,2001-04-16 00:00:00,2009-05-16 12:00:00,2016-12-16 12:00:00,2026-09-16 00:00:00,2039-05-16 12:00:00,2050-07-16 12:00:00,2061-01-16 12:00:00,2077-01-16 12:00:00
CNRM-CM6-1,r2i1p1f2,ssp245,2001-04-16 00:00:00,2009-10-16 12:00:00,2016-07-16 12:00:00,2025-06-16 00:00:00,2039-10-16 12:00:00,2055-09-16 00:00:00,2067-09-16 00:00:00,
CNRM-CM6-1,r8i1p1f2,ssp245,,,,,,,,
CNRM-CM6-1,r7i1p1f2,ssp245,2005-02-15 00:00:00,,,,,,,
CNRM-CM6-1-HR,r1i1p1f2,ssp585,1990-11-16 00:00:00,1999-08-16 12:00:00,2006-04-16 00:00:00,2014-08-16 12:00:00,2025-10-16 12:00:00,2036-08-16 12:00:00,2046-11-16 00:00:00,2061-12-16 12:00:00
CNRM-CM6-1-HR,r1i1p1f2,ssp370,1990-11-16 00:00:00,1999-08-16 12:00:00,2006-03-16 12:00:00,2015-03-16 12:00:00,2027-07-16 12:00:00,2040-02-15 12:00:00,2052-03-16 12:00:00,2070-08-16 12:00:00
CNRM-CM6-1-HR,r1i1p1f2,ssp245,1990-11-16 00:00:00,1999-08-16 12:00:00,2006-04-16 00:00:00,2015-06-16 00:00:00,2028-06-16 00:00:00,2041-06-16 00:00:00,2053-12-16 12:00:00,2083-05-16 12:00:00
CNRM-ESM2-1,r1i1p1f2,ssp585,2006-08-16 12:00:00,2012-07-16 12:00:00,2020-05-16 12:00:00,2029-06-16 00:00:00,2042-04-16 00:00:00,2053-04-16 00:00:00,2061-10-16 12:00:00,2075-09-16 00:00:00
CNRM-ESM2-1,r1i1p1f2,ssp370,2006-11-16 00:00:00,2014-09-16 00:00:00,2022-12-16 12:00:00,2034-11-16 00:00:00,2049-10-16 12:00:00,2060-11-16 00:00:00,2069-03-16 12:00:00,2085-02-15 00:00:00
CNRM-ESM2-1,r1i1p1f2,ssp245,2006-09-16 00:00:00,2013-04-16 00:00:00,2020-11-16 00:00:00,2033-06-16 00:00:00,2052-03-16 12:00:00,2068-04-16 00:00:00,2080-10-16 12:00:00,
CNRM-ESM2-1,r5i1p1f2,ssp585,2010-07-16 12:00:00,2015-07-16 12:00:00,2021-07-16 12:00:00,2031-08-16 12:00:00,2042-10-16 12:00:00,2051-10-16 12:00:00,2060-10-16 12:00:00,2074-05-16 12:00:00
CNRM-ESM2-1,r5i1p1f2,ssp370,2010-10-16 12:00:00,2017-10-16 12:00:00,2024-07-16 12:00:00,2034-04-16 00:00:00,2048-04-16 00:00:00,2056-09-16 00:00:00,2065-10-16 12:00:00,2083-03-16 12:00:00
CNRM-ESM2-1,r5i1p1f2,ssp245,2011-03-16 12:00:00,2016-05-16 12:00:00,2022-02-15 00:00:00,2031-04-16 00:00:00,2048-10-16 12:00:00,2064-03-16 12:00:00,2083-03-16 12:00:00,
CNRM-ESM2-1,r9i1p1f2,ssp245,2017-07-16 12:00:00,2022-07-16 12:00:00,2028-06-16 00:00:00,2036-07-16 12:00:00,2049-11-16 00:00:00,2062-04-16 00:00:00,2076-02-15 12:00:00,
CNRM-ESM2-1,r10i1p1f2,ssp245,1999-03-16 12:00:00,2013-04-16 00:00:00,2021-05-16 12:00:00,2032-08-16 12:00:00,2050-02-15 00:00:00,2065-02-15 00:00:00,2076-05-16 12:00:00,
CNRM-ESM2-1,r4i1p1f2,ssp585,2012-07-16 12:00:00,2017-05-16 12:00:00,2021-07-16 12:00:00,2027-05-16 12:00:00,2037-02-15 00:00:00,2045-10-16 12:00:00,2054-11-16 00:00:00,2071-06-16 00:00:00
CNRM-ESM2-1,r4i1p1f2,ssp370,2012-09-16 00:00:00,2017-10-16 12:00:00,2022-08-16 12:00:00,2029-08-16 12:00:00,2040-10-16 12:00:00,2054-07-16 12:00:00,2066-03-16 12:00:00,2083-09-16 00:00:00
CNRM-ESM2-1,r4i1p1f2,ssp245,2013-06-16 00:00:00,2018-09-16 00:00:00,2022-11-16 00:00:00,2028-08-16 12:00:00,2038-09-16 00:00:00,2052-07-16 12:00:00,2073-07-16 12:00:00,
CNRM-ESM2-1,r3i1p1f2,ssp585,2012-09-16 00:00:00,2017-04-16 00:00:00,2021-09-16 00:00:00,2029-01-16 12:00:00,2041-06-16 00:00:00,2050-10-16 12:00:00,2058-05-16 12:00:00,2071-11-16 00:00:00
CNRM-ESM2-1,r3i1p1f2,ssp370,2013-02-15 00:00:00,2018-07-16 12:00:00,2025-04-16 00:00:00,2033-08-16 12:00:00,2045-06-16 00:00:00,2054-11-16 00:00:00,2063-05-16 12:00:00,2079-11-16 00:00:00
CNRM-ESM2-1,r3i1p1f2,ssp245,2012-10-16 12:00:00,2018-06-16 00:00:00,2024-05-16 12:00:00,2034-07-16 12:00:00,2046-04-16 00:00:00,2056-04-16 00:00:00,2069-06-16 00:00:00,
CNRM-ESM2-1,r8i1p1f2,ssp245,2012-06-16 00:00:00,2019-10-16 12:00:00,2026-02-15 00:00:00,2033-12-16 12:00:00,2047-01-16 12:00:00,2061-11-16 00:00:00,2075-07-16 12:00:00,
CNRM-ESM2-1,r7i1p1f2,ssp245,1985-05-16 12:00:00,1996-04-16 00:00:00,2013-12-16 12:00:00,2024-05-16 12:00:00,2044-08-16 12:00:00,2058-12-16 12:00:00,2071-11-16 00:00:00,
CNRM-ESM2-1,r2i1p1f2,ssp585,2006-02-15 00:00:00,2017-06-16 00:00:00,2024-03-16 12:00:00,2033-04-16 00:00:00,2044-03-16 12:00:00,2052-05-16 12:00:00,2060-07-16 12:00:00,2074-05-16 12:00:00
CNRM-ESM2-1,r2i1p1f2,ssp370,2005-12-16 12:00:00,2020-09-16 00:00:00,2028-04-16 00:00:00,2035-11-16 00:00:00,2047-11-16 00:00:00,2057-01-16 12:00:00,2066-04-16 00:00:00,2083-12-16 12:00:00
CNRM-ESM2-1,r2i1p1f2,ssp245,2006-01-16 12:00:00,2018-11-16 00:00:00,2026-11-16 00:00:00,2038-04-16 00:00:00,2051-06-16 00:00:00,2066-08-16 12:00:00,2079-04-16 00:00:00,
CanESM5,r3i1p1f1,ssp585,1994-02-15 00:00:00,1999-12-16 12:00:00,2003-10-16 12:00:00,2010-01-16 12:00:00,2018-05-16 12:00:00,2026-12-16 12:00:00,2035-09-16 00:00:00,2049-06-16 00:00:00
CanESM5,r3i1p1f1,ssp370,1994-02-15 00:00:00,1999-12-16 12:00:00,2003-10-16 12:00:00,2009-09-16 00:00:00,2018-02-15 00:00:00,2027-10-16 12:00:00,2036-12-16 12:00:00,2052-05-16 12:00:00
CanESM5,r3i1p1f1,ssp245,1994-02-15 00:00:00,1999-12-16 12:00:00,2003-10-16 12:00:00,2009-08-16 12:00:00,2020-05-16 12:00:00,2031-05-16 12:00:00,2041-03-16 12:00:00,2064-01-16 12:00:00
CanESM5,r12i1p2f1,ssp585,1993-12-16 12:00:00,1998-02-15 00:00:00,2002-04-16 00:00:00,2008-01-16 12:00:00,2018-12-16 12:00:00,2027-11-16 00:00:00,2035-04-16 00:00:00,2049-10-16 12:00:00
CanESM5,r12i1p2f1,ssp370,1993-12-16 12:00:00,1998-02-15 00:00:00,2002-04-16 00:00:00,2008-01-16 12:00:00,2019-06-16 00:00:00,2029-03-16 12:00:00,2038-02-15 00:00:00,2054-02-15 00:00:00
CanESM5,r12i1p2f1,ssp245,1993-12-16 12:00:00,1998-02-15 00:00:00,2002-04-16 00:00:00,2008-01-16 12:00:00,2019-01-16 12:00:00,2029-09-16 00:00:00,2041-09-16 00:00:00,2067-09-16 00:00:00
CanESM5,r1i1p2f1,ssp585,1989-12-16 12:00:00,1994-05-16 12:00:00,2000-03-16 12:00:00,2006-11-16 00:00:00,2016-06-16 00:00:00,2025-01-16 12:00:00,2033-05-16 12:00:00,2048-06-16 00:00:00
CanESM5,r1i1p2f1,ssp370,1989-12-16 12:00:00,1994-05-16 12:00:00,2000-03-16 12:00:00,2006-09-16 00:00:00,2016-07-16 12:00:00,2024-05-16 12:00:00,2034-04-16 00:00:00,2051-06-16 00:00:00
CanESM5,r1i1p2f1,ssp245,1989-12-16 12:00:00,1994-05-16 12:00:00,2000-03-16 12:00:00,2006-10-16 12:00:00,2017-02-15 00:00:00,2026-10-16 12:00:00,2039-03-16 12:00:00,2066-04-16 00:00:00
CanESM5,r13i1p1f1,ssp585,1992-04-16 00:00:00,1996-12-16 12:00:00,2001-05-16 12:00:00,2006-09-16 00:00:00,2016-05-16 12:00:00,2026-07-16 12:00:00,2035-10-16 12:00:00,2049-04-16 00:00:00
CanESM5,r13i1p1f1,ssp370,1992-04-16 00:00:00,1996-12-16 12:00:00,2001-05-16 12:00:00,2006-10-16 12:00:00,2017-03-16 12:00:00,2026-03-16 12:00:00,2034-11-16 00:00:00,2053-04-16 00:00:00
CanESM5,r13i1p1f1,ssp245,1992-04-16 00:00:00,1996-12-16 12:00:00,2001-05-16 12:00:00,2006-09-16 00:00:00,2016-11-16 00:00:00,2027-05-16 12:00:00,2040-10-16 12:00:00,2064-04-16 00:00:00
CanESM5,r3i1p2f1,ssp585,1995-07-16 12:00:00,2000-01-16 12:00:00,2003-07-16 12:00:00,2008-04-16 00:00:00,2017-05-16 12:00:00,2026-12-16 12:00:00,2035-12-16 12:00:00,2049-04-16 00:00:00
CanESM5,r3i1p2f1,ssp370,1995-07-16 12:00:00,2000-01-16 12:00:00,2003-07-16 12:00:00,2008-02-15 00:00:00,2018-02-15 00:00:00,2028-01-16 12:00:00,2036-04-16 00:00:00,2053-07-16 12:00:00
CanESM5,r3i1p2f1,ssp245,1995-07-16 12:00:00,2000-01-16 12:00:00,2003-07-16 12:00:00,2008-06-16 00:00:00,2017-05-16 12:00:00,2028-06-16 00:00:00,2042-07-16 12:00:00,2064-05-16 12:00:00
CanESM5,r16i1p2f1,ssp585,1990-07-16 12:00:00,1996-08-16 12:00:00,2001-04-16 00:00:00,2007-07-16 12:00:00,2018-10-16 12:00:00,2027-11-16 00:00:00,2035-05-16 12:00:00,2048-10-16 12:00:00
CanESM5,r16i1p2f1,ssp370,1990-07-16 12:00:00,1996-08-16 12:00:00,2001-04-16 00:00:00,2007-05-16 12:00:00,2017-03-16 12:00:00,2026-02-15 00:00:00,2034-08-16 12:00:00,2050-10-16 12:00:00
CanESM5,r16i1p2f1,ssp245,1990-07-16 12:00:00,1996-08-16 12:00:00,2001-04-16 00:00:00,2007-08-16 12:00:00,2017-12-16 12:00:00,2028-03-16 12:00:00,2039-10-16 12:00:00,2062-11-16 00:00:00
CanESM5,r8i1p2f1,ssp585,1996-02-15 00:00:00,2000-04-16 00:00:00,2004-06-16 00:00:00,2009-03-16 12:00:00,2018-01-16 12:00:00,2026-03-16 12:00:00,2034-08-16 12:00:00,2049-08-16 12:00:00
CanESM5,r8i1p2f1,ssp370,1996-02-15 00:00:00,2000-04-16 00:00:00,2004-06-16 00:00:00,2009-06-16 00:00:00,2019-07-16 12:00:00,2029-04-16 00:00:00,2038-02-15 00:00:00,2053-07-16 12:00:00
CanESM5,r8i1p2f1,ssp245,1996-02-15 00:00:00,2000-04-16 00:00:00,2004-06-16 00:00:00,2009-03-16 12:00:00,2017-10-16 12:00:00,2027-07-16 12:00:00,2040-06-16 00:00:00,2066-06-16 00:00:00
CanESM5,r6i1p1f1,ssp585,1988-01-16 12:00:00,1994-08-16 12:00:00,2000-04-16 00:00:00,2006-11-16 00:00:00,2017-06-16 00:00:00,2027-02-15 00:00:00,2035-05-16 12:00:00,2049-07-16 12:00:00
CanESM5,r6i1p1f1,ssp370,1988-01-16 12:00:00,1994-08-16 12:00:00,2000-04-16 00:00:00,2006-11-16 00:00:00,2017-09-16 00:00:00,2027-11-16 00:00:00,2036-09-16 00:00:00,2053-10-16 12:00:00
CanESM5,r6i1p1f1,ssp245,1988-01-16 12:00:00,1994-08-16 12:00:00,2000-04-16 00:00:00,2007-01-16 12:00:00,2017-10-16 12:00:00,2028-06-16 00:00:00,2039-04-16 00:00:00,2065-09-16 00:00:00
CanESM5,r25i1p1f1,ssp585,1993-07-16 12:00:00,1998-07-16 12:00:00,2002-08-16 12:00:00,2008-05-16 12:00:00,2017-04-16 00:00:00,2027-01-16 12:00:00,2036-12-16 12:00:00,2050-05-16 12:00:00
CanESM5,r25i1p1f1,ssp370,1993-07-16 12:00:00,1998-07-16 12:00:00,2002-08-16 12:00:00,2008-05-16 12:00:00,2018-04-16 00:00:00,2027-07-16 12:00:00,2036-11-16 00:00:00,2054-02-15 00:00:00
CanESM5,r25i1p1f1,ssp245,1993-07-16 12:00:00,1998-07-16 12:00:00,2002-08-16 12:00:00,2008-03-16 12:00:00,2017-10-16 12:00:00,2029-02-15 00:00:00,2041-08-16 12:00:00,2067-07-16 12:00:00
CanESM5,r22i1p2f1,ssp585,1993-08-16 12:00:00,1997-05-16 12:00:00,2002-05-16 12:00:00,2007-05-16 12:00:00,2018-02-15 00:00:00,2026-06-16 00:00:00,2035-04-16 00:00:00,2050-06-16 00:00:00
CanESM5,r22i1p2f1,ssp370,1993-08-16 12:00:00,1997-05-16 12:00:00,2002-05-16 12:00:00,2007-09-16 00:00:00,2018-07-16 12:00:00,2027-09-16 00:00:00,2038-02-15 00:00:00,2054-09-16 00:00:00
CanESM5,r22i1p2f1,ssp245,1993-08-16 12:00:00,1997-05-16 12:00:00,2002-05-16 12:00:00,2007-04-16 00:00:00,2019-03-16 12:00:00,2029-01-16 12:00:00,2041-03-16 12:00:00,2067-05-16 12:00:00
CanESM5,r17i1p1f1,ssp585,1991-10-16 12:00:00,1996-10-16 12:00:00,2001-08-16 12:00:00,2007-04-16 00:00:00,2017-11-16 00:00:00,2027-10-16 12:00:00,2036-03-16 12:00:00,2049-12-16 12:00:00
CanESM5,r17i1p1f1,ssp370,1991-10-16 12:00:00,1996-10-16 12:00:00,2001-08-16 12:00:00,2007-03-16 12:00:00,2016-12-16 12:00:00,2027-01-16 12:00:00,2036-10-16 12:00:00,2053-11-16 00:00:00
CanESM5,r17i1p1f1,ssp245,1991-10-16 12:00:00,1996-10-16 12:00:00,2001-08-16 12:00:00,2007-04-16 00:00:00,2017-07-16 12:00:00,2028-10-16 12:00:00,2041-04-16 00:00:00,2069-02-15 00:00:00
CanESM5,r15i1p2f1,ssp585,1992-11-16 00:00:00,1996-12-16 12:00:00,2003-02-15 00:00:00,2009-06-16 00:00:00,2019-11-16 00:00:00,2027-07-16 12:00:00,2035-07-16 12:00:00,2050-03-16 12:00:00
CanESM5,r15i1p2f1,ssp370,1992-11-16 00:00:00,1996-12-16 12:00:00,2003-02-15 00:00:00,2008-06-16 00:00:00,2019-03-16 12:00:00,2028-05-16 12:00:00,2038-05-16 12:00:00,2054-09-16 00:00:00
CanESM5,r15i1p2f1,ssp245,1992-11-16 00:00:00,1996-12-16 12:00:00,2003-02-15 00:00:00,2009-02-15 00:00:00,2020-04-16 00:00:00,2029-08-16 12:00:00,2041-08-16 12:00:00,2065-01-16 12:00:00
CanESM5,r18i1p1f1,ssp585,1990-06-16 00:00:00,1994-11-16 00:00:00,1999-07-16 12:00:00,2006-01-16 12:00:00,2017-01-16 12:00:00,2026-03-16 12:00:00,2035-01-16 12:00:00,2050-03-16 12:00:00
CanESM5,r18i1p1f1,ssp370,1990-06-16 00:00:00,1994-11-16 00:00:00,1999-07-16 12:00:00,2006-02-15 00:00:00,2017-03-16 12:00:00,2028-01-16 12:00:00,2037-11-16 00:00:00,2055-03-16 12:00:00
CanESM5,r18i1p1f1,ssp245,1990-06-16 00:00:00,1994-11-16 00:00:00,1999-07-16 12:00:00,2006-03-16 12:00:00,2017-03-16 12:00:00,2027-11-16 00:00:00,2039-05-16 12:00:00,2064-02-15 00:00:00
CanESM5,r11i1p2f1,ssp585,1991-11-16 00:00:00,1995-11-16 00:00:00,1999-04-16 00:00:00,2004-11-16 00:00:00,2014-09-16 00:00:00,2025-06-16 00:00:00,2034-04-16 00:00:00,2049-02-15 00:00:00
CanESM5,r11i1p2f1,ssp370,1991-11-16 00:00:00,1995-11-16 00:00:00,1999-04-16 00:00:00,2004-11-16 00:00:00,2015-03-16 12:00:00,2026-07-16 12:00:00,2036-10-16 12:00:00,2054-05-16 12:00:00
CanESM5,r11i1p2f1,ssp245,1991-11-16 00:00:00,1995-11-16 00:00:00,1999-04-16 00:00:00,2004-11-16 00:00:00,2015-08-16 12:00:00,2029-03-16 12:00:00,2041-10-16 12:00:00,2067-10-16 12:00:00
CanESM5,r20i1p2f1,ssp585,1990-05-16 12:00:00,1994-10-16 12:00:00,1999-10-16 12:00:00,2006-10-16 12:00:00,2017-11-16 00:00:00,2025-12-16 12:00:00,2033-01-16 12:00:00,2046-08-16 12:00:00
CanESM5,r20i1p2f1,ssp370,1990-05-16 12:00:00,1994-10-16 12:00:00,1999-10-16 12:00:00,2006-05-16 12:00:00,2018-02-15 00:00:00,2027-02-15 00:00:00,2035-02-15 00:00:00,2051-06-16 00:00:00
CanESM5,r20i1p2f1,ssp245,1990-05-16 12:00:00,1994-10-16 12:00:00,1999-10-16 12:00:00,2006-07-16 12:00:00,2016-09-16 00:00:00,2025-09-16 00:00:00,2037-04-16 00:00:00,2059-05-16 12:00:00
CanESM5,r13i1p2f1,ssp585,1993-01-16 12:00:00,1997-12-16 12:00:00,2001-08-16 12:00:00,2006-06-16 00:00:00,2015-07-16 12:00:00,2024-11-16 00:00:00,2034-04-16 00:00:00,2048-12-16 12:00:00
CanESM5,r13i1p2f1,ssp370,1993-01-16 12:00:00,1997-12-16 12:00:00,2001-08-16 12:00:00,2006-06-16 00:00:00,2016-10-16 12:00:00,2026-05-16 12:00:00,2035-01-16 12:00:00,2052-03-16 12:00:00
CanESM5,r13i1p2f1,ssp245,1993-01-16 12:00:00,1997-12-16 12:00:00,2001-08-16 12:00:00,2006-07-16 12:00:00,2015-09-16 00:00:00,2025-08-16 12:00:00,2039-03-16 12:00:00,2064-07-16 12:00:00
CanESM5,r22i1p1f1,ssp585,1992-02-15 00:00:00,1996-10-16 12:00:00,2002-01-16 12:00:00,2006-12-16 12:00:00,2017-01-16 12:00:00,2026-02-15 00:00:00,2034-11-16 00:00:00,2048-07-16 12:00:00
CanESM5,r22i1p1f1,ssp370,1992-02-15 00:00:00,1996-10-16 12:00:00,2002-01-16 12:00:00,2006-12-16 12:00:00,2017-10-16 12:00:00,2028-07-16 12:00:00,2038-08-16 12:00:00,2053-11-16 00:00:00
CanESM5,r22i1p1f1,ssp245,1992-02-15 00:00:00,1996-10-16 12:00:00,2002-01-16 12:00:00,2007-01-16 12:00:00,2017-05-16 12:00:00,2027-07-16 12:00:00,2039-11-16 00:00:00,2064-03-16 12:00:00
CanESM5,r6i1p2f1,ssp585,1992-06-16 00:00:00,1996-09-16 00:00:00,2001-07-16 12:00:00,2006-12-16 12:00:00,2015-11-16 00:00:00,2024-11-16 00:00:00,2033-12-16 12:00:00,2047-09-16 00:00:00
CanESM5,r6i1p2f1,ssp370,1992-06-16 00:00:00,1996-09-16 00:00:00,2001-07-16 12:00:00,2007-01-16 12:00:00,2015-06-16 00:00:00,2025-02-15 00:00:00,2035-06-16 00:00:00,2052-01-16 12:00:00
CanESM5,r6i1p2f1,ssp245,1992-06-16 00:00:00,1996-09-16 00:00:00,2001-07-16 12:00:00,2007-01-16 12:00:00,2018-05-16 12:00:00,2029-11-16 00:00:00,2039-12-16 12:00:00,2063-12-16 12:00:00
CanESM5,r15i1p1f1,ssp585,1994-02-15 00:00:00,1998-03-16 12:00:00,2002-04-16 00:00:00,2007-02-15 00:00:00,2016-12-16 12:00:00,2025-11-16 00:00:00,2034-12-16 12:00:00,2049-06-16 00:00:00
CanESM5,r15i1p1f1,ssp370,1994-02-15 00:00:00,1998-03-16 12:00:00,2002-04-16 00:00:00,2007-02-15 00:00:00,2016-05-16 12:00:00,2025-10-16 12:00:00,2036-03-16 12:00:00,2053-01-16 12:00:00
CanESM5,r15i1p1f1,ssp245,1994-02-15 00:00:00,1998-03-16 12:00:00,2002-04-16 00:00:00,2007-01-16 12:00:00,2017-10-16 12:00:00,2027-10-16 12:00:00,2038-09-16 00:00:00,2065-11-16 00:00:00
CanESM5,r2i1p2f1,ssp585,1992-10-16 12:00:00,1998-01-16 12:00:00,2003-04-16 00:00:00,2008-10-16 12:00:00,2018-10-16 12:00:00,2027-05-16 12:00:00,2035-02-15 00:00:00,2049-06-16 00:00:00
CanESM5,r2i1p2f1,ssp370,1992-10-16 12:00:00,1998-01-16 12:00:00,2003-04-16 00:00:00,2009-02-15 00:00:00,2019-04-16 00:00:00,2028-04-16 00:00:00,2037-04-16 00:00:00,2052-02-15 00:00:00
CanESM5,r2i1p2f1,ssp245,1992-10-16 12:00:00,1998-01-16 12:00:00,2003-04-16 00:00:00,2009-02-15 00:00:00,2018-06-16 00:00:00,2027-07-16 12:00:00,2038-06-16 00:00:00,2063-12-16 12:00:00
CanESM5,r5i1p1f1,ssp585,1993-06-16 00:00:00,1999-02-15 00:00:00,2003-11-16 00:00:00,2009-09-16 00:00:00,2019-05-16 12:00:00,2028-07-16 12:00:00,2036-05-16 12:00:00,2049-11-16 00:00:00
CanESM5,r5i1p1f1,ssp370,1993-06-16 00:00:00,1999-02-15 00:00:00,2003-11-16 00:00:00,2009-08-16 12:00:00,2019-06-16 00:00:00,2028-09-16 00:00:00,2037-12-16 12:00:00,2053-07-16 12:00:00
CanESM5,r5i1p1f1,ssp245,1993-06-16 00:00:00,1999-02-15 00:00:00,2003-11-16 00:00:00,2009-08-16 12:00:00,2019-05-16 12:00:00,2029-09-16 00:00:00,2042-03-16 12:00:00,2069-08-16 12:00:00
CanESM5,r18i1p2f1,ssp585,1994-02-15 00:00:00,1999-02-15 00:00:00,2003-05-16 12:00:00,2009-05-16 12:00:00,2018-04-16 00:00:00,2026-06-16 00:00:00,2035-01-16 12:00:00,2050-03-16 12:00:00
CanESM5,r18i1p2f1,ssp370,1994-02-15 00:00:00,1999-02-15 00:00:00,2003-05-16 12:00:00,2009-02-15 00:00:00,2018-12-16 12:00:00,2028-01-16 12:00:00,2036-06-16 00:00:00,2053-05-16 12:00:00
CanESM5,r18i1p2f1,ssp245,1994-02-15 00:00:00,1999-02-15 00:00:00,2003-05-16 12:00:00,2009-07-16 12:00:00,2019-05-16 12:00:00,2028-10-16 12:00:00,2039-12-16 12:00:00,2064-09-16 00:00:00
CanESM5,r23i1p2f1,ssp585,1991-01-16 12:00:00,1995-03-16 12:00:00,2001-02-15 00:00:00,2007-09-16 00:00:00,2018-10-16 12:00:00,2027-02-15 00:00:00,2035-03-16 12:00:00,2048-09-16 00:00:00
